Version: 1.1
Halo Id             Xpos                Ypos                Zpos                Radius              Stellar Mass        Baryon Mass         Gas Mass            Stellar Mass Fraction                   Dark Matter Mass    Total Mass          Star Particles
 42                 1.665e+04           1.543e+04           1.620e+04           1.732e+01           1.120e+10           2.787e+10           1.667e+10           1.321e+00           2.575e+10           5.361e+10           2.270e+04
 43                 1.665e+04           1.543e+04           1.620e+04           1.130e+01           1.070e+10           2.287e+10           1.216e+10           1.825e+00           1.423e+10           3.709e+10           2.131e+04
 44                 1.665e+04           1.543e+04           1.620e+04           2.002e+01           1.135e+10           2.870e+10           1.734e+10           1.197e+00           3.130e+10           6.000e+10           2.314e+04
 45                 1.665e+04           1.543e+04           1.620e+04           9.501e+00           1.051e+10           2.095e+10           1.044e+10           2.096e+00           1.078e+10           3.174e+10           2.077e+04
 46                 1.665e+04           1.543e+04           1.620e+04           1.604e+01           1.112e+10           2.730e+10           1.618e+10           1.390e+00           2.334e+10           5.063e+10           2.248e+04
 47                 1.665e+04           1.543e+04           1.620e+04           1.262e+01           1.083e+10           2.425e+10           1.342e+10           1.665e+00           1.692e+10           4.116e+10           2.167e+04
 48                 1.665e+04           1.543e+04           1.620e+04           1.284e+01           1.085e+10           2.443e+10           1.358e+10           1.654e+00           1.706e+10           4.149e+10           2.173e+04
 49                 1.665e+04           1.543e+04           1.620e+04           1.245e+01           1.081e+10           2.408e+10           1.327e+10           1.686e+00           1.650e+10           4.059e+10           2.163e+04
 50                 1.665e+04           1.543e+04           1.620e+04           2.294e+01           1.149e+10           2.947e+10           1.798e+10           1.088e+00           3.736e+10           6.683e+10           2.351e+04
 51                 1.665e+04           1.543e+04           1.620e+04           1.825e+01           1.126e+10           2.820e+10           1.694e+10           1.274e+00           2.771e+10           5.591e+10           2.288e+04
 52                 1.665e+04           1.543e+04           1.620e+04           1.797e+01           1.124e+10           2.815e+10           1.691e+10           1.289e+00           2.706e+10           5.521e+10           2.283e+04
 53                 1.665e+04           1.543e+04           1.620e+04           1.409e+01           1.097e+10           2.576e+10           1.478e+10           1.531e+00           1.958e+10           4.534e+10           2.208e+04
 54                 1.665e+04           1.543e+04           1.620e+04           9.580e+00           1.051e+10           2.086e+10           1.035e+10           2.080e+00           1.110e+10           3.196e+10           2.076e+04
 55                 1.665e+04           1.543e+04           1.620e+04           2.015e+01           1.136e+10           2.862e+10           1.726e+10           1.197e+00           3.144e+10           6.006e+10           2.317e+04
 56                 1.665e+04           1.543e+04           1.620e+04           1.665e+02           1.200e+10           4.212e+10           3.013e+10           2.572e-01           2.530e+11           2.951e+11           2.493e+04
 57                 1.665e+04           1.543e+04           1.620e+04           1.713e+01           1.120e+10           2.766e+10           1.646e+10           1.336e+00           2.540e+10           5.306e+10           2.271e+04

